location,source,target,id,fuzzy,context,translator_comments,developer_comments
,citation,Цитат,,False,,,
,Gramps,,,False,,,
,place,Място,,False,,,
,places,Място,,False,,,
,Events,Събитие,,False,,,
,bug,грешка,,False,,,
,Gramplet,,,False,,Suggested in Weblate: Грамплет,
,debug,Отстраняване на грешки,,False,,,
,bugs,грешки,,False,,,
,Default,По подразбиране,,False,,,
,Default,По подразбиране,,False,1,,
,border,граница,,False,,,
,Try to find,Опитай да намериш,,False,,,
,relation,връзка,,False,,,
,Gramps Web,,,False,,Suggested in Weblate: Gramps Уеб,
,REFN,,,False,,,A GEDCOM tag used to store a user-defined identifier.
,base relative media path,,,False,,Suggested in Weblate: основен относителен медиен път,
,Delimiter,Разделител,,False,,,
,funeral,погребение,,False,,,
,burial,погребение,,False,,,
,addon,допълнение,,False,,,
,plugin,добавка,,False,,,
,substring,Teilzeichenfolge,,False,,,
,Nisan,Nisan,,False,,,
,Tishri,Tiszri,,False,,,
,Elul,Elul,,False,,,
,Stamen,Stamen,,False,,,
,Ancestry,Родословие,,False,,,
,project,,,False,A project object within Gramps,,
,Repository,,,False,,,
,Person,,,False,"A ""person"" record within Gramps",,
